epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,0.14245671033859253,0.14245671033859253,0.13604219257831573,0.13604219257831573
1,0.13795076310634613,0.13795076310634613,0.134324848651886,0.134324848651886
2,0.13640852272510529,0.13640852272510529,0.13302423059940338,0.13302423059940338
3,0.1349964439868927,0.1349964439868927,0.13186347484588623,0.13186347484588623
4,0.13362981379032135,0.13362981379032135,0.13014495372772217,0.13014495372772217
5,0.132991224527359,0.132991224527359,0.13149423897266388,0.13149423897266388
6,0.13161776959896088,0.13161776959896088,0.12795484066009521,0.12795484066009521
7,0.13064201176166534,0.13064201176166534,0.12968610227108002,0.12968610227108002
8,0.12993314862251282,0.12993314862251282,0.13071110844612122,0.13071110844612122
9,0.1291661113500595,0.1291661113500595,0.1261758804321289,0.1261758804321289
10,0.12889061868190765,0.12889061868190765,0.12595251202583313,0.12595251202583313
11,0.12858302891254425,0.12858302891254425,0.1277904361486435,0.1277904361486435
12,0.12849175930023193,0.12849175930023193,0.12624762952327728,0.12624762952327728
13,0.1270638108253479,0.1270638108253479,0.12562444806098938,0.12562444806098938
14,0.12682850658893585,0.12682850658893585,0.12521012127399445,0.12521012127399445
15,0.1265655755996704,0.1265655755996704,0.1264290064573288,0.1264290064573288
16,0.12573550641536713,0.12573550641536713,0.1274280846118927,0.1274280846118927
17,0.1257963478565216,0.1257963478565216,0.12748366594314575,0.12748366594314575
18,0.1250981092453003,0.1250981092453003,0.12522590160369873,0.12522590160369873
19,0.12564274668693542,0.12564274668693542,0.1234232485294342,0.1234232485294342
20,0.12429992854595184,0.12429992854595184,0.12558847665786743,0.12558847665786743
21,0.12289251387119293,0.12289251387119293,0.12348616868257523,0.12348616868257523
22,0.1235571801662445,0.1235571801662445,0.12314038723707199,0.12314038723707199
23,0.12279225885868073,0.12279225885868073,0.12493433803319931,0.12493433803319931
24,0.1237311065196991,0.1237311065196991,0.1265067607164383,0.1265067607164383
25,0.12198816239833832,0.12198816239833832,0.12440519779920578,0.12440519779920578
26,0.1209106370806694,0.1209106370806694,0.12444714456796646,0.12444714456796646
27,0.12115464359521866,0.12115464359521866,0.12463174015283585,0.12463174015283585
28,0.11940436065196991,0.11940436065196991,0.12593431770801544,0.12593431770801544
29,0.1194567009806633,0.1194567009806633,0.1253366619348526,0.1253366619348526
30,0.11830925196409225,0.11830925196409225,0.1262497454881668,0.1262497454881668
31,0.11693978309631348,0.11693978309631348,0.12608298659324646,0.12608298659324646
32,0.11682970076799393,0.11682970076799393,0.12738315761089325,0.12738315761089325
33,0.11506156623363495,0.11506156623363495,0.12729433178901672,0.12729433178901672
34,0.11381730437278748,0.11381730437278748,0.12574878334999084,0.12574878334999084
35,0.113673634827137,0.113673634827137,0.12772433459758759,0.12772433459758759
36,0.11224255710840225,0.11224255710840225,0.1334027349948883,0.1334027349948883
37,0.10999803990125656,0.10999803990125656,0.13224463164806366,0.13224463164806366
38,0.10849293321371078,0.10849293321371078,0.13140298426151276,0.13140298426151276
39,0.10605362057685852,0.10605362057685852,0.1368505209684372,0.1368505209684372
40,0.10421472787857056,0.10421472787857056,0.13742896914482117,0.13742896914482117
41,0.10202252864837646,0.10202252864837646,0.1377173215150833,0.1377173215150833
42,0.10044459998607635,0.10044459998607635,0.13473552465438843,0.13473552465438843
